geoName,burger
Alabama,69
Alaska,60
Arizona,85
Arkansas,63
California,90
Colorado,83
Connecticut,71
Delaware,57
District of Columbia,95
Florida,80
Georgia,85
Hawaii,89
Idaho,63
Illinois,85
Indiana,66
Iowa,71
Kansas,54
Kentucky,72
Louisiana,82
Maine,52
Maryland,67
Massachusetts,70
Michigan,83
Minnesota,70
Mississippi,78
Missouri,69
Montana,57
Nebraska,81
Nevada,100
New Hampshire,51
New Jersey,71
New Mexico,68
New York,90
North Carolina,72
North Dakota,55
Ohio,66
Oklahoma,75
Oregon,62
Pennsylvania,63
Rhode Island,74
South Carolina,76
South Dakota,58
Tennessee,83
Texas,89
Utah,84
Vermont,46
Virginia,47
Washington,79
West Virginia,52
Wisconsin,62
Wyoming,56
