geoName,burger
Alabama,69
Alaska,55
Arizona,94
Arkansas,73
California,98
Colorado,91
Connecticut,80
Delaware,57
District of Columbia,97
Florida,83
Georgia,86
Hawaii,70
Idaho,55
Illinois,89
Indiana,73
Iowa,70
Kansas,66
Kentucky,61
Louisiana,86
Maine,54
Maryland,70
Massachusetts,81
Michigan,76
Minnesota,75
Mississippi,78
Missouri,74
Montana,46
Nebraska,83
Nevada,100
New Hampshire,49
New Jersey,72
New Mexico,64
New York,94
North Carolina,68
North Dakota,47
Ohio,73
Oklahoma,62
Oregon,78
Pennsylvania,65
Rhode Island,89
South Carolina,67
South Dakota,65
Tennessee,78
Texas,87
Utah,72
Vermont,54
Virginia,73
Washington,80
West Virginia,53
Wisconsin,59
Wyoming,48
