date,heal,isPartial
2016-01-03,75,False
2016-01-10,74,False
2016-01-17,75,False
2016-01-24,76,False
2016-01-31,77,False
2016-02-07,77,False
2016-02-14,76,False
2016-02-21,74,False
2016-02-28,75,False
2016-03-06,78,False
2016-03-13,77,False
2016-03-20,80,False
2016-03-27,77,False
2016-04-03,78,False
2016-04-10,82,False
2016-04-17,82,False
2016-04-24,81,False
2016-05-01,77,False
2016-05-08,80,False
2016-05-15,81,False
2016-05-22,86,False
2016-05-29,86,False
2016-06-05,90,False
2016-06-12,85,False
2016-06-19,86,False
2016-06-26,86,False
2016-07-03,99,False
2016-07-10,100,False
2016-07-17,94,False
2016-07-24,88,False
2016-07-31,85,False
2016-08-07,81,False
2016-08-14,78,False
2016-08-21,77,False
2016-08-28,79,False
2016-09-04,80,False
2016-09-11,80,False
2016-09-18,79,False
2016-09-25,76,False
2016-10-02,78,False
2016-10-09,80,False
2016-10-16,80,False
2016-10-23,75,False
2016-10-30,71,False
2016-11-06,69,False
2016-11-13,76,False
2016-11-20,71,False
2016-11-27,71,False
2016-12-04,71,False
2016-12-11,72,False
2016-12-18,73,False
2016-12-25,81,False
