date,heal,isPartial
2014-01-05,82,False
2014-01-12,80,False
2014-01-19,80,False
2014-01-26,87,False
2014-02-02,78,False
2014-02-09,78,False
2014-02-16,79,False
2014-02-23,79,False
2014-03-02,81,False
2014-03-09,82,False
2014-03-16,85,False
2014-03-23,84,False
2014-03-30,84,False
2014-04-06,91,False
2014-04-13,91,False
2014-04-20,89,False
2014-04-27,87,False
2014-05-04,88,False
2014-05-11,93,False
2014-05-18,93,False
2014-05-25,93,False
2014-06-01,99,False
2014-06-08,93,False
2014-06-15,96,False
2014-06-22,96,False
2014-06-29,97,False
2014-07-06,98,False
2014-07-13,100,False
2014-07-20,92,False
2014-07-27,95,False
2014-08-03,95,False
2014-08-10,91,False
2014-08-17,97,False
2014-08-24,80,False
2014-08-31,85,False
2014-09-07,80,False
2014-09-14,84,False
2014-09-21,86,False
2014-09-28,83,False
2014-10-05,81,False
2014-10-12,82,False
2014-10-19,82,False
2014-10-26,82,False
2014-11-02,77,False
2014-11-09,80,False
2014-11-16,80,False
2014-11-23,79,False
2014-11-30,78,False
2014-12-07,78,False
2014-12-14,84,False
2014-12-21,82,False
2014-12-28,89,False
