date,heal,isPartial
2013-01-06,81,False
2013-01-13,80,False
2013-01-20,82,False
2013-01-27,88,False
2013-02-03,81,False
2013-02-10,77,False
2013-02-17,84,False
2013-02-24,79,False
2013-03-03,80,False
2013-03-10,84,False
2013-03-17,80,False
2013-03-24,86,False
2013-03-31,86,False
2013-04-07,89,False
2013-04-14,83,False
2013-04-21,88,False
2013-04-28,88,False
2013-05-05,85,False
2013-05-12,88,False
2013-05-19,93,False
2013-05-26,95,False
2013-06-02,95,False
2013-06-09,95,False
2013-06-16,92,False
2013-06-23,97,False
2013-06-30,95,False
2013-07-07,100,False
2013-07-14,92,False
2013-07-21,97,False
2013-07-28,91,False
2013-08-04,90,False
2013-08-11,96,False
2013-08-18,93,False
2013-08-25,86,False
2013-09-01,90,False
2013-09-08,87,False
2013-09-15,85,False
2013-09-22,81,False
2013-09-29,85,False
2013-10-06,84,False
2013-10-13,90,False
2013-10-20,86,False
2013-10-27,82,False
2013-11-03,90,False
2013-11-10,84,False
2013-11-17,85,False
2013-11-24,76,False
2013-12-01,74,False
2013-12-08,77,False
2013-12-15,77,False
2013-12-22,80,False
2013-12-29,87,False
