date,heal,isPartial
2012-01-01,84,False
2012-01-08,84,False
2012-01-15,82,False
2012-01-22,75,False
2012-01-29,83,False
2012-02-05,85,False
2012-02-12,78,False
2012-02-19,80,False
2012-02-26,83,False
2012-03-04,85,False
2012-03-11,85,False
2012-03-18,89,False
2012-03-25,83,False
2012-04-01,84,False
2012-04-08,87,False
2012-04-15,86,False
2012-04-22,90,False
2012-04-29,85,False
2012-05-06,88,False
2012-05-13,86,False
2012-05-20,91,False
2012-05-27,100,False
2012-06-03,92,False
2012-06-10,90,False
2012-06-17,98,False
2012-06-24,94,False
2012-07-01,95,False
2012-07-08,98,False
2012-07-15,96,False
2012-07-22,96,False
2012-07-29,96,False
2012-08-05,97,False
2012-08-12,96,False
2012-08-19,89,False
2012-08-26,97,False
2012-09-02,93,False
2012-09-09,92,False
2012-09-16,87,False
2012-09-23,91,False
2012-09-30,81,False
2012-10-07,80,False
2012-10-14,85,False
2012-10-21,84,False
2012-10-28,79,False
2012-11-04,77,False
2012-11-11,78,False
2012-11-18,77,False
2012-11-25,75,False
2012-12-02,79,False
2012-12-09,92,False
2012-12-16,81,False
2012-12-23,87,False
2012-12-30,87,False
