date,heal,isPartial
2011-01-02,83,False
2011-01-09,76,False
2011-01-16,77,False
2011-01-23,79,False
2011-01-30,75,False
2011-02-06,85,False
2011-02-13,82,False
2011-02-20,83,False
2011-02-27,82,False
2011-03-06,82,False
2011-03-13,78,False
2011-03-20,86,False
2011-03-27,82,False
2011-04-03,85,False
2011-04-10,78,False
2011-04-17,86,False
2011-04-24,86,False
2011-05-01,85,False
2011-05-08,84,False
2011-05-15,82,False
2011-05-22,85,False
2011-05-29,95,False
2011-06-05,95,False
2011-06-12,90,False
2011-06-19,86,False
2011-06-26,93,False
2011-07-03,100,False
2011-07-10,92,False
2011-07-17,94,False
2011-07-24,86,False
2011-07-31,93,False
2011-08-07,93,False
2011-08-14,89,False
2011-08-21,83,False
2011-08-28,79,False
2011-09-04,81,False
2011-09-11,86,False
2011-09-18,88,False
2011-09-25,77,False
2011-10-02,80,False
2011-10-09,85,False
2011-10-16,76,False
2011-10-23,75,False
2011-10-30,70,False
2011-11-06,80,False
2011-11-13,82,False
2011-11-20,76,False
2011-11-27,79,False
2011-12-04,79,False
2011-12-11,78,False
2011-12-18,75,False
2011-12-25,83,False
