date,resulting,isPartial
2013-01-06,44,False
2013-01-13,54,False
2013-01-20,68,False
2013-01-27,81,False
2013-02-03,76,False
2013-02-10,75,False
2013-02-17,67,False
2013-02-24,89,False
2013-03-03,77,False
2013-03-10,73,False
2013-03-17,75,False
2013-03-24,66,False
2013-03-31,71,False
2013-04-07,80,False
2013-04-14,78,False
2013-04-21,83,False
2013-04-28,85,False
2013-05-05,69,False
2013-05-12,58,False
2013-05-19,48,False
2013-05-26,39,False
2013-06-02,44,False
2013-06-09,44,False
2013-06-16,33,False
2013-06-23,31,False
2013-06-30,36,False
2013-07-07,33,False
2013-07-14,25,False
2013-07-21,42,False
2013-07-28,37,False
2013-08-04,25,False
2013-08-11,25,False
2013-08-18,32,False
2013-08-25,34,False
2013-09-01,48,False
2013-09-08,63,False
2013-09-15,75,False
2013-09-22,74,False
2013-09-29,79,False
2013-10-06,77,False
2013-10-13,90,False
2013-10-20,85,False
2013-10-27,100,False
2013-11-03,93,False
2013-11-10,87,False
2013-11-17,87,False
2013-11-24,57,False
2013-12-01,98,False
2013-12-08,82,False
2013-12-15,56,False
2013-12-22,14,False
2013-12-29,24,False
