date,resulting,isPartial
2014-01-05,37,False
2014-01-12,60,False
2014-01-19,56,False
2014-01-26,68,False
2014-02-02,80,False
2014-02-09,79,False
2014-02-16,83,False
2014-02-23,100,False
2014-03-02,87,False
2014-03-09,83,False
2014-03-16,73,False
2014-03-23,84,False
2014-03-30,84,False
2014-04-06,84,False
2014-04-13,79,False
2014-04-20,95,False
2014-04-27,90,False
2014-05-04,80,False
2014-05-11,64,False
2014-05-18,45,False
2014-05-25,36,False
2014-06-01,51,False
2014-06-08,38,False
2014-06-15,36,False
2014-06-22,42,False
2014-06-29,35,False
2014-07-06,40,False
2014-07-13,42,False
2014-07-20,51,False
2014-07-27,35,False
2014-08-03,39,False
2014-08-10,34,False
2014-08-17,32,False
2014-08-24,35,False
2014-08-31,59,False
2014-09-07,68,False
2014-09-14,82,False
2014-09-21,86,False
2014-09-28,81,False
2014-10-05,81,False
2014-10-12,98,False
2014-10-19,94,False
2014-10-26,89,False
2014-11-02,96,False
2014-11-09,93,False
2014-11-16,86,False
2014-11-23,59,False
2014-11-30,95,False
2014-12-07,96,False
2014-12-14,63,False
2014-12-21,18,False
2014-12-28,25,False
