date,resulting,isPartial
2012-01-01,41,False
2012-01-08,46,False
2012-01-15,55,False
2012-01-22,68,False
2012-01-29,69,False
2012-02-05,73,False
2012-02-12,61,False
2012-02-19,72,False
2012-02-26,73,False
2012-03-04,67,False
2012-03-11,66,False
2012-03-18,76,False
2012-03-25,86,False
2012-04-01,74,False
2012-04-08,84,False
2012-04-15,100,False
2012-04-22,96,False
2012-04-29,79,False
2012-05-06,62,False
2012-05-13,45,False
2012-05-20,49,False
2012-05-27,42,False
2012-06-03,40,False
2012-06-10,49,False
2012-06-17,40,False
2012-06-24,37,False
2012-07-01,36,False
2012-07-08,40,False
2012-07-15,39,False
2012-07-22,39,False
2012-07-29,39,False
2012-08-05,32,False
2012-08-12,27,False
2012-08-19,36,False
2012-08-26,43,False
2012-09-02,51,False
2012-09-09,62,False
2012-09-16,67,False
2012-09-23,68,False
2012-09-30,86,False
2012-10-07,83,False
2012-10-14,83,False
2012-10-21,90,False
2012-10-28,79,False
2012-11-04,94,False
2012-11-11,88,False
2012-11-18,59,False
2012-11-25,82,False
2012-12-02,74,False
2012-12-09,71,False
2012-12-16,40,False
2012-12-23,17,False
2012-12-30,33,False
