geoName,resulting
Alabama,84
Alaska,59
Arizona,65
Arkansas,71
California,41
Colorado,44
Connecticut,54
Delaware,65
District of Columbia,42
Florida,55
Georgia,49
Hawaii,70
Idaho,100
Illinois,38
Indiana,64
Iowa,49
Kansas,57
Kentucky,57
Louisiana,55
Maine,45
Maryland,51
Massachusetts,44
Michigan,57
Minnesota,38
Mississippi,55
Missouri,47
Montana,41
Nebraska,52
Nevada,50
New Hampshire,40
New Jersey,40
New Mexico,84
New York,40
North Carolina,65
North Dakota,81
Ohio,52
Oklahoma,68
Oregon,31
Pennsylvania,57
Rhode Island,68
South Carolina,71
South Dakota,84
Tennessee,57
Texas,53
Utah,46
Vermont,48
Virginia,52
Washington,43
West Virginia,74
Wisconsin,48
Wyoming,40
