geoName,resulting
Alabama,97
Alaska,48
Arizona,73
Arkansas,69
California,53
Colorado,56
Connecticut,60
Delaware,65
District of Columbia,30
Florida,69
Georgia,67
Hawaii,46
Idaho,67
Illinois,52
Indiana,85
Iowa,73
Kansas,60
Kentucky,74
Louisiana,69
Maine,79
Maryland,55
Massachusetts,57
Michigan,55
Minnesota,65
Mississippi,100
Missouri,64
Montana,56
Nebraska,71
Nevada,63
New Hampshire,55
New Jersey,56
New Mexico,74
New York,51
North Carolina,75
North Dakota,94
Ohio,68
Oklahoma,64
Oregon,56
Pennsylvania,67
Rhode Island,99
South Carolina,87
South Dakota,92
Tennessee,71
Texas,64
Utah,63
Vermont,67
Virginia,76
Washington,42
West Virginia,80
Wisconsin,55
Wyoming,22
