date,resulting,isPartial
2015-01-04,46,False
2015-01-11,45,False
2015-01-18,60,False
2015-01-25,68,False
2015-02-01,81,False
2015-02-08,80,False
2015-02-15,67,False
2015-02-22,77,False
2015-03-01,83,False
2015-03-08,84,False
2015-03-15,76,False
2015-03-22,79,False
2015-03-29,87,False
2015-04-05,90,False
2015-04-12,92,False
2015-04-19,97,False
2015-04-26,90,False
2015-05-03,66,False
2015-05-10,62,False
2015-05-17,57,False
2015-05-24,36,False
2015-05-31,47,False
2015-06-07,37,False
2015-06-14,41,False
2015-06-21,36,False
2015-06-28,42,False
2015-07-05,41,False
2015-07-12,35,False
2015-07-19,46,False
2015-07-26,39,False
2015-08-02,36,False
2015-08-09,27,False
2015-08-16,23,False
2015-08-23,42,False
2015-08-30,55,False
2015-09-06,68,False
2015-09-13,78,False
2015-09-20,84,False
2015-09-27,92,False
2015-10-04,98,False
2015-10-11,88,False
2015-10-18,92,False
2015-10-25,100,False
2015-11-01,96,False
2015-11-08,99,False
2015-11-15,97,False
2015-11-22,62,False
2015-11-29,91,False
2015-12-06,100,False
2015-12-13,65,False
2015-12-20,29,False
2015-12-27,23,False
