geoName,resulting
Alabama,55
Alaska,62
Arizona,65
Arkansas,72
California,40
Colorado,52
Connecticut,59
Delaware,66
District of Columbia,28
Florida,58
Georgia,46
Hawaii,45
Idaho,37
Illinois,36
Indiana,76
Iowa,55
Kansas,58
Kentucky,41
Louisiana,54
Maine,42
Maryland,53
Massachusetts,34
Michigan,47
Minnesota,44
Mississippi,50
Missouri,49
Montana,57
Nebraska,68
Nevada,47
New Hampshire,43
New Jersey,45
New Mexico,83
New York,37
North Carolina,61
North Dakota,70
Ohio,61
Oklahoma,65
Oregon,35
Pennsylvania,49
Rhode Island,61
South Carolina,59
South Dakota,100
Tennessee,58
Texas,51
Utah,49
Vermont,70
Virginia,45
Washington,37
West Virginia,79
Wisconsin,40
Wyoming,93
