geoName,resulting
Alabama,91
Alaska,94
Arizona,80
Arkansas,86
California,55
Colorado,64
Connecticut,62
Delaware,56
District of Columbia,59
Florida,81
Georgia,60
Hawaii,62
Idaho,100
Illinois,51
Indiana,69
Iowa,69
Kansas,79
Kentucky,82
Louisiana,75
Maine,17
Maryland,88
Massachusetts,57
Michigan,72
Minnesota,56
Mississippi,99
Missouri,69
Montana,38
Nebraska,83
Nevada,89
New Hampshire,61
New Jersey,70
New Mexico,96
New York,53
North Carolina,83
North Dakota,58
Ohio,62
Oklahoma,77
Oregon,52
Pennsylvania,74
Rhode Island,61
South Carolina,88
South Dakota,59
Tennessee,96
Texas,65
Utah,89
Vermont,83
Virginia,64
Washington,42
West Virginia,88
Wisconsin,52
Wyoming,38
