geoName,resulting
Alabama,74
Alaska,66
Arizona,52
Arkansas,70
California,39
Colorado,48
Connecticut,54
Delaware,77
District of Columbia,27
Florida,57
Georgia,53
Hawaii,39
Idaho,69
Illinois,37
Indiana,58
Iowa,74
Kansas,44
Kentucky,59
Louisiana,48
Maine,46
Maryland,58
Massachusetts,46
Michigan,48
Minnesota,51
Mississippi,71
Missouri,51
Montana,47
Nebraska,39
Nevada,48
New Hampshire,37
New Jersey,39
New Mexico,62
New York,37
North Carolina,72
North Dakota,64
Ohio,48
Oklahoma,57
Oregon,22
Pennsylvania,45
Rhode Island,51
South Carolina,59
South Dakota,100
Tennessee,54
Texas,51
Utah,54
Vermont,15
Virginia,33
Washington,34
West Virginia,59
Wisconsin,42
Wyoming,38
