geoName,talking
Alabama,59
Alaska,56
Arizona,100
Arkansas,53
California,52
Colorado,54
Connecticut,53
Delaware,59
District of Columbia,55
Florida,56
Georgia,57
Hawaii,52
Idaho,50
Illinois,55
Indiana,56
Iowa,54
Kansas,52
Kentucky,59
Louisiana,52
Maine,66
Maryland,58
Massachusetts,60
Michigan,54
Minnesota,51
Mississippi,54
Missouri,54
Montana,49
Nebraska,51
Nevada,56
New Hampshire,57
New Jersey,54
New Mexico,56
New York,56
North Carolina,55
North Dakota,53
Ohio,53
Oklahoma,53
Oregon,56
Pennsylvania,57
Rhode Island,61
South Carolina,55
South Dakota,50
Tennessee,57
Texas,52
Utah,47
Vermont,57
Virginia,55
Washington,55
West Virginia,64
Wisconsin,58
Wyoming,54
