date,talking,isPartial
2015-01-04,82,False
2015-01-11,81,False
2015-01-18,80,False
2015-01-25,79,False
2015-02-01,78,False
2015-02-08,87,False
2015-02-15,86,False
2015-02-22,91,False
2015-03-01,93,False
2015-03-08,92,False
2015-03-15,86,False
2015-03-22,93,False
2015-03-29,92,False
2015-04-05,89,False
2015-04-12,87,False
2015-04-19,85,False
2015-04-26,87,False
2015-05-03,89,False
2015-05-10,89,False
2015-05-17,89,False
2015-05-24,89,False
2015-05-31,90,False
2015-06-07,88,False
2015-06-14,86,False
2015-06-21,88,False
2015-06-28,87,False
2015-07-05,84,False
2015-07-12,84,False
2015-07-19,86,False
2015-07-26,81,False
2015-08-02,83,False
2015-08-09,81,False
2015-08-16,81,False
2015-08-23,83,False
2015-08-30,86,False
2015-09-06,81,False
2015-09-13,77,False
2015-09-20,81,False
2015-09-27,80,False
2015-10-04,85,False
2015-10-11,93,False
2015-10-18,89,False
2015-10-25,100,False
2015-11-01,92,False
2015-11-08,90,False
2015-11-15,90,False
2015-11-22,92,False
2015-11-29,85,False
2015-12-06,86,False
2015-12-13,87,False
2015-12-20,87,False
2015-12-27,89,False
