date,talking,isPartial
2011-01-02,55,False
2011-01-09,59,False
2011-01-16,58,False
2011-01-23,57,False
2011-01-30,58,False
2011-02-06,52,False
2011-02-13,57,False
2011-02-20,55,False
2011-02-27,58,False
2011-03-06,54,False
2011-03-13,54,False
2011-03-20,55,False
2011-03-27,100,False
2011-04-03,70,False
2011-04-10,61,False
2011-04-17,60,False
2011-04-24,58,False
2011-05-01,65,False
2011-05-08,79,False
2011-05-15,67,False
2011-05-22,67,False
2011-05-29,62,False
2011-06-05,63,False
2011-06-12,58,False
2011-06-19,58,False
2011-06-26,59,False
2011-07-03,59,False
2011-07-10,60,False
2011-07-17,59,False
2011-07-24,60,False
2011-07-31,59,False
2011-08-07,57,False
2011-08-14,59,False
2011-08-21,54,False
2011-08-28,59,False
2011-09-04,65,False
2011-09-11,59,False
2011-09-18,57,False
2011-09-25,60,False
2011-10-02,64,False
2011-10-09,60,False
2011-10-16,63,False
2011-10-23,64,False
2011-10-30,64,False
2011-11-06,67,False
2011-11-13,65,False
2011-11-20,69,False
2011-11-27,72,False
2011-12-04,67,False
2011-12-11,68,False
2011-12-18,71,False
2011-12-25,76,False
