geoName,talking
Alabama,58
Alaska,50
Arizona,100
Arkansas,62
California,51
Colorado,54
Connecticut,55
Delaware,58
District of Columbia,53
Florida,55
Georgia,59
Hawaii,50
Idaho,50
Illinois,54
Indiana,56
Iowa,51
Kansas,57
Kentucky,64
Louisiana,61
Maine,60
Maryland,53
Massachusetts,59
Michigan,54
Minnesota,51
Mississippi,62
Missouri,54
Montana,60
Nebraska,51
Nevada,58
New Hampshire,51
New Jersey,51
New Mexico,54
New York,55
North Carolina,53
North Dakota,53
Ohio,54
Oklahoma,51
Oregon,49
Pennsylvania,55
Rhode Island,59
South Carolina,60
South Dakota,49
Tennessee,54
Texas,52
Utah,49
Vermont,51
Virginia,54
Washington,51
West Virginia,61
Wisconsin,55
Wyoming,55
