geoName,talking
Alabama,55
Alaska,57
Arizona,100
Arkansas,54
California,51
Colorado,56
Connecticut,56
Delaware,53
District of Columbia,50
Florida,54
Georgia,56
Hawaii,47
Idaho,52
Illinois,54
Indiana,56
Iowa,53
Kansas,57
Kentucky,60
Louisiana,58
Maine,58
Maryland,54
Massachusetts,61
Michigan,55
Minnesota,52
Mississippi,56
Missouri,54
Montana,48
Nebraska,55
Nevada,49
New Hampshire,56
New Jersey,53
New Mexico,55
New York,56
North Carolina,55
North Dakota,54
Ohio,54
Oklahoma,54
Oregon,55
Pennsylvania,57
Rhode Island,57
South Carolina,55
South Dakota,51
Tennessee,57
Texas,52
Utah,49
Vermont,57
Virginia,56
Washington,57
West Virginia,60
Wisconsin,55
Wyoming,51
