geoName,talking
Alabama,52
Alaska,46
Arizona,100
Arkansas,53
California,47
Colorado,48
Connecticut,50
Delaware,50
District of Columbia,49
Florida,50
Georgia,57
Hawaii,44
Idaho,51
Illinois,51
Indiana,49
Iowa,48
Kansas,46
Kentucky,55
Louisiana,54
Maine,55
Maryland,47
Massachusetts,51
Michigan,53
Minnesota,46
Mississippi,56
Missouri,53
Montana,54
Nebraska,50
Nevada,52
New Hampshire,53
New Jersey,48
New Mexico,53
New York,47
North Carolina,53
North Dakota,49
Ohio,50
Oklahoma,51
Oregon,42
Pennsylvania,54
Rhode Island,50
South Carolina,55
South Dakota,49
Tennessee,54
Texas,51
Utah,50
Vermont,54
Virginia,43
Washington,48
West Virginia,61
Wisconsin,50
Wyoming,46
