date,talking,isPartial
2014-01-05,25,False
2014-01-12,26,False
2014-01-19,27,False
2014-01-26,26,False
2014-02-02,25,False
2014-02-09,30,False
2014-02-16,100,False
2014-02-23,55,False
2014-03-02,34,False
2014-03-09,33,False
2014-03-16,32,False
2014-03-23,30,False
2014-03-30,30,False
2014-04-06,27,False
2014-04-13,28,False
2014-04-20,25,False
2014-04-27,26,False
2014-05-04,26,False
2014-05-11,26,False
2014-05-18,25,False
2014-05-25,26,False
2014-06-01,25,False
2014-06-08,26,False
2014-06-15,26,False
2014-06-22,25,False
2014-06-29,27,False
2014-07-06,25,False
2014-07-13,25,False
2014-07-20,25,False
2014-07-27,25,False
2014-08-03,24,False
2014-08-10,26,False
2014-08-17,25,False
2014-08-24,25,False
2014-08-31,25,False
2014-09-07,26,False
2014-09-14,26,False
2014-09-21,26,False
2014-09-28,26,False
2014-10-05,26,False
2014-10-12,30,False
2014-10-19,28,False
2014-10-26,28,False
2014-11-02,29,False
2014-11-09,27,False
2014-11-16,29,False
2014-11-23,30,False
2014-11-30,32,False
2014-12-07,28,False
2014-12-14,28,False
2014-12-21,29,False
2014-12-28,28,False
