date,uncooperative,isPartial
2011-01-02,64,False
2011-01-09,31,False
2011-01-16,62,False
2011-01-23,51,False
2011-01-30,59,False
2011-02-06,100,False
2011-02-13,41,False
2011-02-20,31,False
2011-02-27,10,False
2011-03-06,40,False
2011-03-13,42,False
2011-03-20,20,False
2011-03-27,50,False
2011-04-03,10,False
2011-04-10,50,False
2011-04-17,31,False
2011-04-24,61,False
2011-05-01,60,False
2011-05-08,20,False
2011-05-15,40,False
2011-05-22,31,False
2011-05-29,43,False
2011-06-05,82,False
2011-06-12,31,False
2011-06-19,71,False
2011-06-26,62,False
2011-07-03,43,False
2011-07-10,40,False
2011-07-17,50,False
2011-07-24,49,False
2011-07-31,39,False
2011-08-07,49,False
2011-08-14,10,False
2011-08-21,48,False
2011-08-28,19,False
2011-09-04,76,False
2011-09-11,18,False
2011-09-18,55,False
2011-09-25,73,False
2011-10-02,18,False
2011-10-09,36,False
2011-10-16,27,False
2011-10-23,35,False
2011-10-30,91,False
2011-11-06,35,False
2011-11-13,52,False
2011-11-20,46,False
2011-11-27,25,False
2011-12-04,42,False
2011-12-11,42,False
2011-12-18,45,False
2011-12-25,28,False
