date,uncooperative,isPartial
2014-01-05,52,False
2014-01-12,45,False
2014-01-19,39,False
2014-01-26,96,False
2014-02-02,87,False
2014-02-09,38,False
2014-02-16,32,False
2014-02-23,69,False
2014-03-02,50,False
2014-03-09,58,False
2014-03-16,25,False
2014-03-23,77,False
2014-03-30,26,False
2014-04-06,65,False
2014-04-13,39,False
2014-04-20,46,False
2014-04-27,32,False
2014-05-04,46,False
2014-05-11,40,False
2014-05-18,51,False
2014-05-25,39,False
2014-06-01,60,False
2014-06-08,54,False
2014-06-15,62,False
2014-06-22,23,False
2014-06-29,74,False
2014-07-06,46,False
2014-07-13,92,False
2014-07-20,53,False
2014-07-27,76,False
2014-08-03,16,False
2014-08-10,83,False
2014-08-17,83,False
2014-08-24,44,False
2014-08-31,44,False
2014-09-07,70,False
2014-09-14,71,False
2014-09-21,57,False
2014-09-28,21,False
2014-10-05,100,False
2014-10-12,85,False
2014-10-19,14,False
2014-10-26,50,False
2014-11-02,28,False
2014-11-09,35,False
2014-11-16,70,False
2014-11-23,15,False
2014-11-30,74,False
2014-12-07,48,False
2014-12-14,81,False
2014-12-21,34,False
2014-12-28,24,False
