date,uncooperative,isPartial
2015-01-04,12,False
2015-01-11,23,False
2015-01-18,35,False
2015-01-25,63,False
2015-02-01,34,False
2015-02-08,73,False
2015-02-15,29,False
2015-02-22,56,False
2015-03-01,28,False
2015-03-08,58,False
2015-03-15,75,False
2015-03-22,71,False
2015-03-29,72,False
2015-04-05,18,False
2015-04-12,70,False
2015-04-19,41,False
2015-04-26,35,False
2015-05-03,54,False
2015-05-10,30,False
2015-05-17,31,False
2015-05-24,39,False
2015-05-31,19,False
2015-06-07,38,False
2015-06-14,51,False
2015-06-21,64,False
2015-06-28,46,False
2015-07-05,58,False
2015-07-12,38,False
2015-07-19,38,False
2015-07-26,38,False
2015-08-02,38,False
2015-08-09,44,False
2015-08-16,56,False
2015-08-23,55,False
2015-08-30,54,False
2015-09-06,55,False
2015-09-13,76,False
2015-09-20,64,False
2015-09-27,75,False
2015-10-04,100,False
2015-10-11,64,False
2015-10-18,45,False
2015-10-25,97,False
2015-11-01,79,False
2015-11-08,79,False
2015-11-15,56,False
2015-11-22,31,False
2015-11-29,71,False
2015-12-06,67,False
2015-12-13,80,False
2015-12-20,26,False
2015-12-27,24,False
