date,uncooperative,isPartial
2012-01-01,24,False
2012-01-08,7,False
2012-01-15,37,False
2012-01-22,43,False
2012-01-29,43,False
2012-02-05,51,False
2012-02-12,29,False
2012-02-19,51,False
2012-02-26,30,False
2012-03-04,45,False
2012-03-11,29,False
2012-03-18,44,False
2012-03-25,15,False
2012-04-01,60,False
2012-04-08,23,False
2012-04-15,29,False
2012-04-22,43,False
2012-04-29,65,False
2012-05-06,51,False
2012-05-13,37,False
2012-05-20,30,False
2012-05-27,53,False
2012-06-03,60,False
2012-06-10,52,False
2012-06-17,60,False
2012-06-24,29,False
2012-07-01,23,False
2012-07-08,0,False
2012-07-15,58,False
2012-07-22,58,False
2012-07-29,58,False
2012-08-05,57,False
2012-08-12,22,False
2012-08-19,29,False
2012-08-26,57,False
2012-09-02,36,False
2012-09-09,76,False
2012-09-16,69,False
2012-09-23,54,False
2012-09-30,95,False
2012-10-07,60,False
2012-10-14,78,False
2012-10-21,39,False
2012-10-28,100,False
2012-11-04,52,False
2012-11-11,47,False
2012-11-18,49,False
2012-11-25,81,False
2012-12-02,57,False
2012-12-09,51,False
2012-12-16,39,False
2012-12-23,44,False
2012-12-30,7,False
