date,uncooperative,isPartial
2016-01-03,40,False
2016-01-10,46,False
2016-01-17,22,False
2016-01-24,35,False
2016-01-31,51,False
2016-02-07,43,False
2016-02-14,30,False
2016-02-21,75,False
2016-02-28,66,False
2016-03-06,42,False
2016-03-13,34,False
2016-03-20,26,False
2016-03-27,34,False
2016-04-03,55,False
2016-04-10,73,False
2016-04-17,55,False
2016-04-24,51,False
2016-05-01,55,False
2016-05-08,52,False
2016-05-15,48,False
2016-05-22,40,False
2016-05-29,32,False
2016-06-05,40,False
2016-06-12,49,False
2016-06-19,64,False
2016-06-26,27,False
2016-07-03,38,False
2016-07-10,32,False
2016-07-17,51,False
2016-07-24,36,False
2016-07-31,41,False
2016-08-07,52,False
2016-08-14,39,False
2016-08-21,56,False
2016-08-28,26,False
2016-09-04,44,False
2016-09-11,39,False
2016-09-18,29,False
2016-09-25,39,False
2016-10-02,72,False
2016-10-09,39,False
2016-10-16,56,False
2016-10-23,55,False
2016-10-30,42,False
2016-11-06,16,False
2016-11-13,59,False
2016-11-20,30,False
2016-11-27,35,False
2016-12-04,27,False
2016-12-11,100,False
2016-12-18,52,False
2016-12-25,40,False
