date,inconsolable,isPartial
2014-01-05,92,False
2014-01-12,80,False
2014-01-19,53,False
2014-01-26,57,False
2014-02-02,80,False
2014-02-09,71,False
2014-02-16,72,False
2014-02-23,48,False
2014-03-02,100,False
2014-03-09,84,False
2014-03-16,68,False
2014-03-23,68,False
2014-03-30,57,False
2014-04-06,96,False
2014-04-13,70,False
2014-04-20,54,False
2014-04-27,42,False
2014-05-04,82,False
2014-05-11,48,False
2014-05-18,43,False
2014-05-25,37,False
2014-06-01,27,False
2014-06-08,41,False
2014-06-15,60,False
2014-06-22,46,False
2014-06-29,68,False
2014-07-06,59,False
2014-07-13,55,False
2014-07-20,63,False
2014-07-27,32,False
2014-08-03,62,False
2014-08-10,53,False
2014-08-17,67,False
2014-08-24,61,False
2014-08-31,26,False
2014-09-07,42,False
2014-09-14,67,False
2014-09-21,55,False
2014-09-28,55,False
2014-10-05,47,False
2014-10-12,75,False
2014-10-19,51,False
2014-10-26,47,False
2014-11-02,66,False
2014-11-09,25,False
2014-11-16,63,False
2014-11-23,35,False
2014-11-30,36,False
2014-12-07,78,False
2014-12-14,52,False
2014-12-21,100,False
2014-12-28,42,False
