date,inconsolable,isPartial
2011-01-02,80,False
2011-01-09,39,False
2011-01-16,39,False
2011-01-23,45,False
2011-01-30,37,False
2011-02-06,57,False
2011-02-13,97,False
2011-02-20,39,False
2011-02-27,19,False
2011-03-06,25,False
2011-03-13,46,False
2011-03-20,63,False
2011-03-27,25,False
2011-04-03,38,False
2011-04-10,31,False
2011-04-17,45,False
2011-04-24,32,False
2011-05-01,50,False
2011-05-08,38,False
2011-05-15,70,False
2011-05-22,71,False
2011-05-29,67,False
2011-06-05,45,False
2011-06-12,58,False
2011-06-19,38,False
2011-06-26,20,False
2011-07-03,33,False
2011-07-10,63,False
2011-07-17,75,False
2011-07-24,61,False
2011-07-31,49,False
2011-08-07,43,False
2011-08-14,81,False
2011-08-21,30,False
2011-08-28,42,False
2011-09-04,24,False
2011-09-11,35,False
2011-09-18,34,False
2011-09-25,74,False
2011-10-02,46,False
2011-10-09,22,False
2011-10-16,6,False
2011-10-23,45,False
2011-10-30,51,False
2011-11-06,39,False
2011-11-13,54,False
2011-11-20,41,False
2011-11-27,100,False
2011-12-04,42,False
2011-12-11,53,False
2011-12-18,17,False
2011-12-25,23,False
