date,inconsolable,isPartial
2015-01-04,9,False
2015-01-11,7,False
2015-01-18,8,False
2015-01-25,6,False
2015-02-01,13,False
2015-02-08,13,False
2015-02-15,10,False
2015-02-22,8,False
2015-03-01,10,False
2015-03-08,7,False
2015-03-15,5,False
2015-03-22,8,False
2015-03-29,6,False
2015-04-05,8,False
2015-04-12,7,False
2015-04-19,8,False
2015-04-26,7,False
2015-05-03,7,False
2015-05-10,6,False
2015-05-17,6,False
2015-05-24,8,False
2015-05-31,8,False
2015-06-07,6,False
2015-06-14,6,False
2015-06-21,8,False
2015-06-28,8,False
2015-07-05,8,False
2015-07-12,11,False
2015-07-19,8,False
2015-07-26,9,False
2015-08-02,4,False
2015-08-09,9,False
2015-08-16,6,False
2015-08-23,5,False
2015-08-30,9,False
2015-09-06,5,False
2015-09-13,8,False
2015-09-20,7,False
2015-09-27,9,False
2015-10-04,10,False
2015-10-11,100,False
2015-10-18,7,False
2015-10-25,10,False
2015-11-01,9,False
2015-11-08,13,False
2015-11-15,13,False
2015-11-22,10,False
2015-11-29,9,False
2015-12-06,7,False
2015-12-13,10,False
2015-12-20,14,False
2015-12-27,4,False
