date,inconsolable,isPartial
2016-01-03,57,False
2016-01-10,42,False
2016-01-17,48,False
2016-01-24,55,False
2016-01-31,59,False
2016-02-07,57,False
2016-02-14,35,False
2016-02-21,84,False
2016-02-28,55,False
2016-03-06,42,False
2016-03-13,68,False
2016-03-20,39,False
2016-03-27,55,False
2016-04-03,62,False
2016-04-10,72,False
2016-04-17,54,False
2016-04-24,47,False
2016-05-01,45,False
2016-05-08,46,False
2016-05-15,56,False
2016-05-22,55,False
2016-05-29,23,False
2016-06-05,49,False
2016-06-12,49,False
2016-06-19,48,False
2016-06-26,25,False
2016-07-03,69,False
2016-07-10,48,False
2016-07-17,23,False
2016-07-24,38,False
2016-07-31,64,False
2016-08-07,56,False
2016-08-14,57,False
2016-08-21,34,False
2016-08-28,63,False
2016-09-04,32,False
2016-09-11,53,False
2016-09-18,40,False
2016-09-25,41,False
2016-10-02,38,False
2016-10-09,41,False
2016-10-16,46,False
2016-10-23,52,False
2016-10-30,49,False
2016-11-06,100,False
2016-11-13,61,False
2016-11-20,53,False
2016-11-27,48,False
2016-12-04,48,False
2016-12-11,71,False
2016-12-18,36,False
2016-12-25,50,False
