date,inconsolable,isPartial
2012-01-01,53,False
2012-01-08,61,False
2012-01-15,66,False
2012-01-22,49,False
2012-01-29,54,False
2012-02-05,45,False
2012-02-12,88,False
2012-02-19,39,False
2012-02-26,55,False
2012-03-04,30,False
2012-03-11,45,False
2012-03-18,100,False
2012-03-25,35,False
2012-04-01,46,False
2012-04-08,21,False
2012-04-15,64,False
2012-04-22,29,False
2012-04-29,39,False
2012-05-06,59,False
2012-05-13,50,False
2012-05-20,55,False
2012-05-27,47,False
2012-06-03,25,False
2012-06-10,66,False
2012-06-17,51,False
2012-06-24,20,False
2012-07-01,37,False
2012-07-08,45,False
2012-07-15,35,False
2012-07-22,30,False
2012-07-29,45,False
2012-08-05,49,False
2012-08-12,59,False
2012-08-19,49,False
2012-08-26,29,False
2012-09-02,73,False
2012-09-09,52,False
2012-09-16,52,False
2012-09-23,51,False
2012-09-30,96,False
2012-10-07,45,False
2012-10-14,79,False
2012-10-21,53,False
2012-10-28,32,False
2012-11-04,48,False
2012-11-11,68,False
2012-11-18,52,False
2012-11-25,68,False
2012-12-02,69,False
2012-12-09,73,False
2012-12-16,44,False
2012-12-23,45,False
2012-12-30,55,False
