geoName,inconsolable
Alabama,24
Alaska,0
Arizona,67
Arkansas,53
California,54
Colorado,28
Connecticut,74
Delaware,0
District of Columbia,69
Florida,53
Georgia,38
Hawaii,86
Idaho,71
Illinois,61
Indiana,50
Iowa,65
Kansas,47
Kentucky,25
Louisiana,46
Maine,0
Maryland,63
Massachusetts,50
Michigan,63
Minnesota,49
Mississippi,64
Missouri,34
Montana,0
Nebraska,35
Nevada,41
New Hampshire,100
New Jersey,50
New Mexico,87
New York,58
North Carolina,43
North Dakota,0
Ohio,61
Oklahoma,20
Oregon,25
Pennsylvania,43
Rhode Island,20
South Carolina,67
South Dakota,0
Tennessee,49
Texas,52
Utah,60
Vermont,0
Virginia,30
Washington,75
West Virginia,62
Wisconsin,71
Wyoming,0
