geoName,kill
Alabama,91
Alaska,79
Arizona,84
Arkansas,96
California,74
Colorado,79
Connecticut,84
Delaware,88
District of Columbia,68
Florida,80
Georgia,77
Hawaii,77
Idaho,86
Illinois,78
Indiana,89
Iowa,82
Kansas,86
Kentucky,94
Louisiana,84
Maine,83
Maryland,80
Massachusetts,77
Michigan,88
Minnesota,77
Mississippi,80
Missouri,83
Montana,80
Nebraska,76
Nevada,79
New Hampshire,77
New Jersey,83
New Mexico,80
New York,76
North Carolina,88
North Dakota,83
Ohio,92
Oklahoma,88
Oregon,82
Pennsylvania,85
Rhode Island,81
South Carolina,80
South Dakota,85
Tennessee,76
Texas,77
Utah,83
Vermont,81
Virginia,87
Washington,79
West Virginia,100
Wisconsin,77
Wyoming,78
