date,kill,isPartial
2013-01-06,87,False
2013-01-13,80,False
2013-01-20,82,False
2013-01-27,83,False
2013-02-03,83,False
2013-02-10,82,False
2013-02-17,82,False
2013-02-24,83,False
2013-03-03,83,False
2013-03-10,85,False
2013-03-17,94,False
2013-03-24,84,False
2013-03-31,88,False
2013-04-07,91,False
2013-04-14,93,False
2013-04-21,92,False
2013-04-28,94,False
2013-05-05,96,False
2013-05-12,98,False
2013-05-19,96,False
2013-05-26,95,False
2013-06-02,95,False
2013-06-09,94,False
2013-06-16,88,False
2013-06-23,91,False
2013-06-30,94,False
2013-07-07,90,False
2013-07-14,93,False
2013-07-21,90,False
2013-07-28,88,False
2013-08-04,90,False
2013-08-11,87,False
2013-08-18,92,False
2013-08-25,87,False
2013-09-01,96,False
2013-09-08,96,False
2013-09-15,99,False
2013-09-22,98,False
2013-09-29,97,False
2013-10-06,100,False
2013-10-13,95,False
2013-10-20,91,False
2013-10-27,95,False
2013-11-03,92,False
2013-11-10,94,False
2013-11-17,92,False
2013-11-24,100,False
2013-12-01,91,False
2013-12-08,93,False
2013-12-15,89,False
2013-12-22,84,False
2013-12-29,87,False
