date,kill,isPartial
2015-01-04,82,False
2015-01-11,83,False
2015-01-18,85,False
2015-01-25,82,False
2015-02-01,92,False
2015-02-08,84,False
2015-02-15,81,False
2015-02-22,83,False
2015-03-01,84,False
2015-03-08,83,False
2015-03-15,83,False
2015-03-22,90,False
2015-03-29,81,False
2015-04-05,82,False
2015-04-12,89,False
2015-04-19,87,False
2015-04-26,89,False
2015-05-03,94,False
2015-05-10,95,False
2015-05-17,93,False
2015-05-24,96,False
2015-05-31,93,False
2015-06-07,89,False
2015-06-14,86,False
2015-06-21,85,False
2015-06-28,84,False
2015-07-05,88,False
2015-07-12,98,False
2015-07-19,89,False
2015-07-26,91,False
2015-08-02,89,False
2015-08-09,89,False
2015-08-16,85,False
2015-08-23,80,False
2015-08-30,90,False
2015-09-06,87,False
2015-09-13,83,False
2015-09-20,81,False
2015-09-27,85,False
2015-10-04,80,False
2015-10-11,83,False
2015-10-18,83,False
2015-10-25,89,False
2015-11-01,90,False
2015-11-08,87,False
2015-11-15,100,False
2015-11-22,82,False
2015-11-29,87,False
2015-12-06,84,False
2015-12-13,79,False
2015-12-20,75,False
2015-12-27,82,False
