geoName,kill
Alabama,89
Alaska,78
Arizona,78
Arkansas,91
California,78
Colorado,76
Connecticut,80
Delaware,80
District of Columbia,66
Florida,75
Georgia,84
Hawaii,73
Idaho,87
Illinois,78
Indiana,90
Iowa,82
Kansas,86
Kentucky,94
Louisiana,86
Maine,82
Maryland,81
Massachusetts,75
Michigan,86
Minnesota,74
Mississippi,96
Missouri,86
Montana,83
Nebraska,84
Nevada,87
New Hampshire,82
New Jersey,80
New Mexico,78
New York,77
North Carolina,90
North Dakota,78
Ohio,86
Oklahoma,90
Oregon,56
Pennsylvania,86
Rhode Island,76
South Carolina,83
South Dakota,76
Tennessee,92
Texas,80
Utah,81
Vermont,79
Virginia,87
Washington,79
West Virginia,100
Wisconsin,79
Wyoming,86
