date,kill,isPartial
2012-01-01,86,False
2012-01-08,85,False
2012-01-15,82,False
2012-01-22,84,False
2012-01-29,81,False
2012-02-05,81,False
2012-02-12,85,False
2012-02-19,86,False
2012-02-26,86,False
2012-03-04,89,False
2012-03-11,92,False
2012-03-18,94,False
2012-03-25,92,False
2012-04-01,90,False
2012-04-08,97,False
2012-04-15,88,False
2012-04-22,94,False
2012-04-29,94,False
2012-05-06,93,False
2012-05-13,96,False
2012-05-20,98,False
2012-05-27,100,False
2012-06-03,92,False
2012-06-10,87,False
2012-06-17,89,False
2012-06-24,84,False
2012-07-01,94,False
2012-07-08,91,False
2012-07-15,96,False
2012-07-22,94,False
2012-07-29,89,False
2012-08-05,88,False
2012-08-12,95,False
2012-08-19,92,False
2012-08-26,92,False
2012-09-02,97,False
2012-09-09,92,False
2012-09-16,88,False
2012-09-23,91,False
2012-09-30,94,False
2012-10-07,91,False
2012-10-14,93,False
2012-10-21,95,False
2012-10-28,91,False
2012-11-04,90,False
2012-11-11,92,False
2012-11-18,96,False
2012-11-25,94,False
2012-12-02,93,False
2012-12-09,96,False
2012-12-16,91,False
2012-12-23,85,False
2012-12-30,91,False
