date,kill,isPartial
2016-01-03,76,False
2016-01-10,73,False
2016-01-17,78,False
2016-01-24,72,False
2016-01-31,73,False
2016-02-07,72,False
2016-02-14,80,False
2016-02-21,79,False
2016-02-28,75,False
2016-03-06,79,False
2016-03-13,79,False
2016-03-20,76,False
2016-03-27,81,False
2016-04-03,100,False
2016-04-10,85,False
2016-04-17,87,False
2016-04-24,82,False
2016-05-01,81,False
2016-05-08,82,False
2016-05-15,86,False
2016-05-22,84,False
2016-05-29,86,False
2016-06-05,82,False
2016-06-12,85,False
2016-06-19,78,False
2016-06-26,84,False
2016-07-03,85,False
2016-07-10,78,False
2016-07-17,76,False
2016-07-24,75,False
2016-07-31,76,False
2016-08-07,70,False
2016-08-14,69,False
2016-08-21,68,False
2016-08-28,71,False
2016-09-04,74,False
2016-09-11,70,False
2016-09-18,77,False
2016-09-25,76,False
2016-10-02,72,False
2016-10-09,74,False
2016-10-16,76,False
2016-10-23,83,False
2016-10-30,71,False
2016-11-06,69,False
2016-11-13,74,False
2016-11-20,68,False
2016-11-27,75,False
2016-12-04,71,False
2016-12-11,71,False
2016-12-18,65,False
2016-12-25,67,False
