geoName,kill
Alabama,91
Alaska,90
Arizona,81
Arkansas,90
California,75
Colorado,74
Connecticut,74
Delaware,77
District of Columbia,67
Florida,69
Georgia,82
Hawaii,77
Idaho,85
Illinois,73
Indiana,90
Iowa,85
Kansas,80
Kentucky,89
Louisiana,84
Maine,84
Maryland,75
Massachusetts,68
Michigan,79
Minnesota,73
Mississippi,88
Missouri,85
Montana,83
Nebraska,81
Nevada,74
New Hampshire,79
New Jersey,73
New Mexico,79
New York,68
North Carolina,88
North Dakota,76
Ohio,83
Oklahoma,94
Oregon,75
Pennsylvania,83
Rhode Island,80
South Carolina,87
South Dakota,83
Tennessee,85
Texas,75
Utah,80
Vermont,79
Virginia,80
Washington,77
West Virginia,100
Wisconsin,76
Wyoming,86
