geoName,kill
Alabama,95
Alaska,82
Arizona,80
Arkansas,99
California,77
Colorado,76
Connecticut,74
Delaware,81
District of Columbia,70
Florida,75
Georgia,80
Hawaii,75
Idaho,94
Illinois,75
Indiana,88
Iowa,88
Kansas,77
Kentucky,87
Louisiana,86
Maine,85
Maryland,76
Massachusetts,74
Michigan,85
Minnesota,77
Mississippi,96
Missouri,83
Montana,84
Nebraska,80
Nevada,84
New Hampshire,78
New Jersey,78
New Mexico,83
New York,76
North Carolina,95
North Dakota,78
Ohio,88
Oklahoma,87
Oregon,65
Pennsylvania,80
Rhode Island,78
South Carolina,93
South Dakota,87
Tennessee,88
Texas,76
Utah,82
Vermont,73
Virginia,59
Washington,78
West Virginia,100
Wisconsin,83
Wyoming,88
