date,kill,isPartial
2011-01-02,71,False
2011-01-09,65,False
2011-01-16,69,False
2011-01-23,65,False
2011-01-30,64,False
2011-02-06,63,False
2011-02-13,64,False
2011-02-20,71,False
2011-02-27,64,False
2011-03-06,68,False
2011-03-13,70,False
2011-03-20,77,False
2011-03-27,79,False
2011-04-03,68,False
2011-04-10,72,False
2011-04-17,71,False
2011-04-24,73,False
2011-05-01,100,False
2011-05-08,87,False
2011-05-15,81,False
2011-05-22,78,False
2011-05-29,81,False
2011-06-05,77,False
2011-06-12,78,False
2011-06-19,74,False
2011-06-26,73,False
2011-07-03,81,False
2011-07-10,81,False
2011-07-17,75,False
2011-07-24,74,False
2011-07-31,72,False
2011-08-07,73,False
2011-08-14,71,False
2011-08-21,74,False
2011-08-28,74,False
2011-09-04,74,False
2011-09-11,72,False
2011-09-18,68,False
2011-09-25,71,False
2011-10-02,67,False
2011-10-09,70,False
2011-10-16,72,False
2011-10-23,69,False
2011-10-30,69,False
2011-11-06,71,False
2011-11-13,78,False
2011-11-20,75,False
2011-11-27,74,False
2011-12-04,74,False
2011-12-11,71,False
2011-12-18,66,False
2011-12-25,72,False
