geoName,kill
Alabama,90
Alaska,78
Arizona,82
Arkansas,95
California,77
Colorado,80
Connecticut,78
Delaware,77
District of Columbia,71
Florida,75
Georgia,80
Hawaii,76
Idaho,82
Illinois,75
Indiana,90
Iowa,85
Kansas,88
Kentucky,95
Louisiana,85
Maine,84
Maryland,79
Massachusetts,79
Michigan,82
Minnesota,76
Mississippi,86
Missouri,82
Montana,75
Nebraska,77
Nevada,84
New Hampshire,83
New Jersey,79
New Mexico,84
New York,74
North Carolina,93
North Dakota,73
Ohio,84
Oklahoma,85
Oregon,78
Pennsylvania,84
Rhode Island,81
South Carolina,85
South Dakota,87
Tennessee,84
Texas,78
Utah,78
Vermont,74
Virginia,86
Washington,82
West Virginia,100
Wisconsin,79
Wyoming,82
