date,distractable,isPartial
2014-01-05,52,False
2014-01-12,77,False
2014-01-19,26,False
2014-01-26,0,False
2014-02-02,0,False
2014-02-09,0,False
2014-02-16,25,False
2014-02-23,100,False
2014-03-02,25,False
2014-03-09,51,False
2014-03-16,0,False
2014-03-23,26,False
2014-03-30,26,False
2014-04-06,0,False
2014-04-13,26,False
2014-04-20,26,False
2014-04-27,26,False
2014-05-04,26,False
2014-05-11,27,False
2014-05-18,0,False
2014-05-25,0,False
2014-06-01,60,False
2014-06-08,61,False
2014-06-15,0,False
2014-06-22,0,False
2014-06-29,33,False
2014-07-06,0,False
2014-07-13,31,False
2014-07-20,31,False
2014-07-27,31,False
2014-08-03,32,False
2014-08-10,90,False
2014-08-17,0,False
2014-08-24,59,False
2014-08-31,59,False
2014-09-07,0,False
2014-09-14,0,False
2014-09-21,86,False
2014-09-28,0,False
2014-10-05,0,False
2014-10-12,28,False
2014-10-19,28,False
2014-10-26,57,False
2014-11-02,56,False
2014-11-09,56,False
2014-11-16,28,False
2014-11-23,30,False
2014-11-30,0,False
2014-12-07,0,False
2014-12-14,0,False
2014-12-21,0,False
2014-12-28,0,False
