date,distractable,isPartial
2015-01-04,25,False
2015-01-11,25,False
2015-01-18,25,False
2015-01-25,0,False
2015-02-01,0,False
2015-02-08,48,False
2015-02-15,25,False
2015-02-22,24,False
2015-03-01,24,False
2015-03-08,0,False
2015-03-15,74,False
2015-03-22,0,False
2015-03-29,26,False
2015-04-05,51,False
2015-04-12,0,False
2015-04-19,50,False
2015-04-26,50,False
2015-05-03,26,False
2015-05-10,0,False
2015-05-17,53,False
2015-05-24,28,False
2015-05-31,0,False
2015-06-07,0,False
2015-06-14,0,False
2015-06-21,27,False
2015-06-28,56,False
2015-07-05,0,False
2015-07-12,0,False
2015-07-19,0,False
2015-07-26,0,False
2015-08-02,0,False
2015-08-09,0,False
2015-08-16,0,False
2015-08-23,53,False
2015-08-30,26,False
2015-09-06,26,False
2015-09-13,100,False
2015-09-20,25,False
2015-09-27,0,False
2015-10-04,0,False
2015-10-11,25,False
2015-10-18,24,False
2015-10-25,49,False
2015-11-01,48,False
2015-11-08,24,False
2015-11-15,0,False
2015-11-22,26,False
2015-11-29,23,False
2015-12-06,24,False
2015-12-13,24,False
2015-12-20,28,False
2015-12-27,0,False
