date,distractable,isPartial
2013-01-06,25,False
2013-01-13,100,False
2013-01-20,51,False
2013-01-27,25,False
2013-02-03,25,False
2013-02-10,25,False
2013-02-17,49,False
2013-02-24,48,False
2013-03-03,49,False
2013-03-10,0,False
2013-03-17,0,False
2013-03-24,51,False
2013-03-31,0,False
2013-04-07,0,False
2013-04-14,0,False
2013-04-21,0,False
2013-04-28,0,False
2013-05-05,25,False
2013-05-12,26,False
2013-05-19,25,False
2013-05-26,27,False
2013-06-02,0,False
2013-06-09,0,False
2013-06-16,52,False
2013-06-23,0,False
2013-06-30,54,False
2013-07-07,0,False
2013-07-14,0,False
2013-07-21,25,False
2013-07-28,0,False
2013-08-04,26,False
2013-08-11,25,False
2013-08-18,0,False
2013-08-25,0,False
2013-09-01,0,False
2013-09-08,0,False
2013-09-15,0,False
2013-09-22,25,False
2013-09-29,0,False
2013-10-06,0,False
2013-10-13,0,False
2013-10-20,24,False
2013-10-27,49,False
2013-11-03,97,False
2013-11-10,24,False
2013-11-17,0,False
2013-11-24,0,False
2013-12-01,45,False
2013-12-08,24,False
2013-12-15,25,False
2013-12-22,0,False
2013-12-29,0,False
