date,interested,isPartial
2011-01-02,69,False
2011-01-09,77,False
2011-01-16,90,False
2011-01-23,80,False
2011-01-30,74,False
2011-02-06,82,False
2011-02-13,82,False
2011-02-20,81,False
2011-02-27,78,False
2011-03-06,77,False
2011-03-13,72,False
2011-03-20,70,False
2011-03-27,81,False
2011-04-03,71,False
2011-04-10,72,False
2011-04-17,77,False
2011-04-24,85,False
2011-05-01,74,False
2011-05-08,83,False
2011-05-15,66,False
2011-05-22,78,False
2011-05-29,74,False
2011-06-05,85,False
2011-06-12,77,False
2011-06-19,83,False
2011-06-26,75,False
2011-07-03,78,False
2011-07-10,78,False
2011-07-17,72,False
2011-07-24,82,False
2011-07-31,78,False
2011-08-07,77,False
2011-08-14,79,False
2011-08-21,79,False
2011-08-28,79,False
2011-09-04,85,False
2011-09-11,86,False
2011-09-18,76,False
2011-09-25,87,False
2011-10-02,76,False
2011-10-09,89,False
2011-10-16,91,False
2011-10-23,86,False
2011-10-30,89,False
2011-11-06,88,False
2011-11-13,85,False
2011-11-20,76,False
2011-11-27,100,False
2011-12-04,88,False
2011-12-11,85,False
2011-12-18,73,False
2011-12-25,60,False
