geoName,interested
Alabama,98
Alaska,77
Arizona,82
Arkansas,91
California,87
Colorado,73
Connecticut,78
Delaware,83
District of Columbia,87
Florida,82
Georgia,80
Hawaii,75
Idaho,75
Illinois,73
Indiana,86
Iowa,80
Kansas,64
Kentucky,74
Louisiana,80
Maine,71
Maryland,100
Massachusetts,81
Michigan,78
Minnesota,73
Mississippi,96
Missouri,80
Montana,70
Nebraska,76
Nevada,76
New Hampshire,76
New Jersey,86
New Mexico,70
New York,82
North Carolina,93
North Dakota,68
Ohio,80
Oklahoma,70
Oregon,45
Pennsylvania,89
Rhode Island,86
South Carolina,84
South Dakota,62
Tennessee,77
Texas,80
Utah,64
Vermont,67
Virginia,69
Washington,74
West Virginia,75
Wisconsin,77
Wyoming,61
