date,interested,isPartial
2016-01-03,84,False
2016-01-10,83,False
2016-01-17,91,False
2016-01-24,100,False
2016-01-31,100,False
2016-02-07,100,False
2016-02-14,91,False
2016-02-21,97,False
2016-02-28,97,False
2016-03-06,93,False
2016-03-13,87,False
2016-03-20,87,False
2016-03-27,91,False
2016-04-03,97,False
2016-04-10,95,False
2016-04-17,95,False
2016-04-24,96,False
2016-05-01,88,False
2016-05-08,83,False
2016-05-15,86,False
2016-05-22,78,False
2016-05-29,74,False
2016-06-05,82,False
2016-06-12,74,False
2016-06-19,78,False
2016-06-26,71,False
2016-07-03,76,False
2016-07-10,73,False
2016-07-17,68,False
2016-07-24,72,False
2016-07-31,64,False
2016-08-07,60,False
2016-08-14,69,False
2016-08-21,75,False
2016-08-28,81,False
2016-09-04,95,False
2016-09-11,90,False
2016-09-18,93,False
2016-09-25,99,False
2016-10-02,86,False
2016-10-09,92,False
2016-10-16,85,False
2016-10-23,93,False
2016-10-30,84,False
2016-11-06,79,False
2016-11-13,91,False
2016-11-20,61,False
2016-11-27,98,False
2016-12-04,90,False
2016-12-11,86,False
2016-12-18,69,False
2016-12-25,53,False
