geoName,interested
Alabama,84
Alaska,63
Arizona,72
Arkansas,69
California,80
Colorado,60
Connecticut,76
Delaware,64
District of Columbia,78
Florida,84
Georgia,80
Hawaii,74
Idaho,68
Illinois,75
Indiana,74
Iowa,73
Kansas,92
Kentucky,79
Louisiana,76
Maine,66
Maryland,87
Massachusetts,72
Michigan,77
Minnesota,68
Mississippi,90
Missouri,68
Montana,32
Nebraska,75
Nevada,71
New Hampshire,57
New Jersey,78
New Mexico,84
New York,75
North Carolina,77
North Dakota,80
Ohio,77
Oklahoma,65
Oregon,65
Pennsylvania,82
Rhode Island,69
South Carolina,80
South Dakota,100
Tennessee,69
Texas,77
Utah,60
Vermont,41
Virginia,85
Washington,73
West Virginia,88
Wisconsin,72
Wyoming,54
