geoName,interested
Alabama,88
Alaska,74
Arizona,80
Arkansas,81
California,90
Colorado,70
Connecticut,75
Delaware,78
District of Columbia,73
Florida,89
Georgia,89
Hawaii,73
Idaho,72
Illinois,83
Indiana,82
Iowa,61
Kansas,68
Kentucky,76
Louisiana,68
Maine,57
Maryland,100
Massachusetts,88
Michigan,77
Minnesota,73
Mississippi,76
Missouri,73
Montana,64
Nebraska,81
Nevada,66
New Hampshire,58
New Jersey,93
New Mexico,65
New York,91
North Carolina,87
North Dakota,84
Ohio,84
Oklahoma,64
Oregon,71
Pennsylvania,92
Rhode Island,89
South Carolina,84
South Dakota,72
Tennessee,85
Texas,84
Utah,73
Vermont,82
Virginia,86
Washington,78
West Virginia,92
Wisconsin,82
Wyoming,78
