geoName,interested
Alabama,97
Alaska,81
Arizona,79
Arkansas,84
California,89
Colorado,70
Connecticut,88
Delaware,89
District of Columbia,82
Florida,83
Georgia,85
Hawaii,100
Idaho,72
Illinois,79
Indiana,89
Iowa,75
Kansas,90
Kentucky,79
Louisiana,71
Maine,65
Maryland,94
Massachusetts,85
Michigan,82
Minnesota,74
Mississippi,87
Missouri,76
Montana,60
Nebraska,71
Nevada,82
New Hampshire,67
New Jersey,85
New Mexico,86
New York,87
North Carolina,94
North Dakota,95
Ohio,79
Oklahoma,81
Oregon,73
Pennsylvania,86
Rhode Island,86
South Carolina,83
South Dakota,83
Tennessee,76
Texas,77
Utah,66
Vermont,84
Virginia,92
Washington,76
West Virginia,80
Wisconsin,82
Wyoming,79
