geoName,interested
Alabama,73
Alaska,66
Arizona,73
Arkansas,84
California,79
Colorado,59
Connecticut,73
Delaware,73
District of Columbia,85
Florida,72
Georgia,77
Hawaii,65
Idaho,74
Illinois,79
Indiana,76
Iowa,65
Kansas,70
Kentucky,72
Louisiana,72
Maine,56
Maryland,83
Massachusetts,79
Michigan,73
Minnesota,66
Mississippi,79
Missouri,74
Montana,66
Nebraska,81
Nevada,65
New Hampshire,62
New Jersey,82
New Mexico,100
New York,78
North Carolina,78
North Dakota,55
Ohio,73
Oklahoma,75
Oregon,44
Pennsylvania,74
Rhode Island,81
South Carolina,64
South Dakota,96
Tennessee,69
Texas,71
Utah,73
Vermont,60
Virginia,69
Washington,68
West Virginia,69
Wisconsin,67
Wyoming,60
