date,interested,isPartial
2014-01-05,88,False
2014-01-12,87,False
2014-01-19,92,False
2014-01-26,88,False
2014-02-02,88,False
2014-02-09,86,False
2014-02-16,87,False
2014-02-23,92,False
2014-03-02,94,False
2014-03-09,96,False
2014-03-16,95,False
2014-03-23,97,False
2014-03-30,91,False
2014-04-06,89,False
2014-04-13,91,False
2014-04-20,95,False
2014-04-27,100,False
2014-05-04,91,False
2014-05-11,85,False
2014-05-18,84,False
2014-05-25,73,False
2014-06-01,76,False
2014-06-08,79,False
2014-06-15,78,False
2014-06-22,88,False
2014-06-29,78,False
2014-07-06,88,False
2014-07-13,83,False
2014-07-20,79,False
2014-07-27,71,False
2014-08-03,78,False
2014-08-10,74,False
2014-08-17,70,False
2014-08-24,82,False
2014-08-31,89,False
2014-09-07,87,False
2014-09-14,94,False
2014-09-21,94,False
2014-09-28,90,False
2014-10-05,91,False
2014-10-12,80,False
2014-10-19,85,False
2014-10-26,91,False
2014-11-02,96,False
2014-11-09,90,False
2014-11-16,96,False
2014-11-23,82,False
2014-11-30,93,False
2014-12-07,90,False
2014-12-14,79,False
2014-12-21,51,False
2014-12-28,62,False
