geoName,die
Alabama,89
Alaska,82
Arizona,83
Arkansas,96
California,76
Colorado,81
Connecticut,76
Delaware,75
District of Columbia,71
Florida,73
Georgia,78
Hawaii,73
Idaho,91
Illinois,79
Indiana,97
Iowa,91
Kansas,72
Kentucky,92
Louisiana,84
Maine,86
Maryland,75
Massachusetts,75
Michigan,91
Minnesota,78
Mississippi,93
Missouri,91
Montana,85
Nebraska,83
Nevada,87
New Hampshire,84
New Jersey,76
New Mexico,93
New York,73
North Carolina,85
North Dakota,86
Ohio,90
Oklahoma,83
Oregon,62
Pennsylvania,82
Rhode Island,78
South Carolina,87
South Dakota,90
Tennessee,85
Texas,79
Utah,90
Vermont,83
Virginia,55
Washington,78
West Virginia,100
Wisconsin,89
Wyoming,90
