geoName,die
Alabama,84
Alaska,88
Arizona,85
Arkansas,96
California,79
Colorado,80
Connecticut,74
Delaware,77
District of Columbia,65
Florida,78
Georgia,77
Hawaii,73
Idaho,89
Illinois,82
Indiana,92
Iowa,87
Kansas,81
Kentucky,89
Louisiana,82
Maine,84
Maryland,75
Massachusetts,75
Michigan,91
Minnesota,78
Mississippi,89
Missouri,87
Montana,86
Nebraska,84
Nevada,88
New Hampshire,84
New Jersey,77
New Mexico,88
New York,74
North Carolina,82
North Dakota,85
Ohio,89
Oklahoma,85
Oregon,53
Pennsylvania,87
Rhode Island,82
South Carolina,82
South Dakota,93
Tennessee,85
Texas,76
Utah,84
Vermont,81
Virginia,65
Washington,79
West Virginia,100
Wisconsin,82
Wyoming,87
