geoName,die
Alabama,83
Alaska,84
Arizona,81
Arkansas,88
California,76
Colorado,76
Connecticut,75
Delaware,77
District of Columbia,60
Florida,72
Georgia,78
Hawaii,70
Idaho,86
Illinois,81
Indiana,92
Iowa,83
Kansas,86
Kentucky,90
Louisiana,85
Maine,80
Maryland,74
Massachusetts,75
Michigan,89
Minnesota,77
Mississippi,92
Missouri,84
Montana,84
Nebraska,81
Nevada,85
New Hampshire,86
New Jersey,79
New Mexico,87
New York,72
North Carolina,79
North Dakota,81
Ohio,86
Oklahoma,83
Oregon,56
Pennsylvania,80
Rhode Island,79
South Carolina,83
South Dakota,81
Tennessee,83
Texas,78
Utah,81
Vermont,81
Virginia,72
Washington,74
West Virginia,100
Wisconsin,82
Wyoming,85
