geoName,die
Alabama,85
Alaska,72
Arizona,77
Arkansas,91
California,77
Colorado,73
Connecticut,81
Delaware,88
District of Columbia,64
Florida,75
Georgia,82
Hawaii,72
Idaho,82
Illinois,82
Indiana,92
Iowa,81
Kansas,85
Kentucky,87
Louisiana,84
Maine,81
Maryland,77
Massachusetts,78
Michigan,88
Minnesota,75
Mississippi,87
Missouri,82
Montana,78
Nebraska,79
Nevada,84
New Hampshire,89
New Jersey,81
New Mexico,81
New York,80
North Carolina,77
North Dakota,85
Ohio,87
Oklahoma,81
Oregon,77
Pennsylvania,88
Rhode Island,92
South Carolina,82
South Dakota,84
Tennessee,83
Texas,77
Utah,77
Vermont,89
Virginia,80
Washington,77
West Virginia,100
Wisconsin,84
Wyoming,84
