date,die,isPartial
2012-01-01,59,False
2012-01-08,56,False
2012-01-15,59,False
2012-01-22,58,False
2012-01-29,59,False
2012-02-05,59,False
2012-02-12,100,False
2012-02-19,65,False
2012-02-26,62,False
2012-03-04,55,False
2012-03-11,55,False
2012-03-18,56,False
2012-03-25,52,False
2012-04-01,55,False
2012-04-08,63,False
2012-04-15,56,False
2012-04-22,54,False
2012-04-29,56,False
2012-05-06,55,False
2012-05-13,60,False
2012-05-20,56,False
2012-05-27,61,False
2012-06-03,55,False
2012-06-10,52,False
2012-06-17,52,False
2012-06-24,50,False
2012-07-01,54,False
2012-07-08,51,False
2012-07-15,57,False
2012-07-22,56,False
2012-07-29,55,False
2012-08-05,54,False
2012-08-12,52,False
2012-08-19,52,False
2012-08-26,60,False
2012-09-02,60,False
2012-09-09,60,False
2012-09-16,52,False
2012-09-23,56,False
2012-09-30,57,False
2012-10-07,56,False
2012-10-14,57,False
2012-10-21,56,False
2012-10-28,57,False
2012-11-04,53,False
2012-11-11,58,False
2012-11-18,61,False
2012-11-25,61,False
2012-12-02,62,False
2012-12-09,65,False
2012-12-16,62,False
2012-12-23,60,False
2012-12-30,61,False
