date,die,isPartial
2013-01-06,72,False
2013-01-13,74,False
2013-01-20,77,False
2013-01-27,83,False
2013-02-03,77,False
2013-02-10,92,False
2013-02-17,87,False
2013-02-24,75,False
2013-03-03,73,False
2013-03-10,72,False
2013-03-17,70,False
2013-03-24,74,False
2013-03-31,85,False
2013-04-07,72,False
2013-04-14,73,False
2013-04-21,75,False
2013-04-28,72,False
2013-05-05,67,False
2013-05-12,70,False
2013-05-19,72,False
2013-05-26,71,False
2013-06-02,74,False
2013-06-09,69,False
2013-06-16,73,False
2013-06-23,70,False
2013-06-30,73,False
2013-07-07,69,False
2013-07-14,80,False
2013-07-21,69,False
2013-07-28,72,False
2013-08-04,64,False
2013-08-11,64,False
2013-08-18,64,False
2013-08-25,63,False
2013-09-01,62,False
2013-09-08,61,False
2013-09-15,61,False
2013-09-22,62,False
2013-09-29,64,False
2013-10-06,69,False
2013-10-13,66,False
2013-10-20,66,False
2013-10-27,66,False
2013-11-03,66,False
2013-11-10,64,False
2013-11-17,69,False
2013-11-24,78,False
2013-12-01,100,False
2013-12-08,69,False
2013-12-15,73,False
2013-12-22,70,False
2013-12-29,73,False
