date,die,isPartial
2014-01-05,78,False
2014-01-12,77,False
2014-01-19,76,False
2014-01-26,78,False
2014-02-02,80,False
2014-02-09,79,False
2014-02-16,78,False
2014-02-23,81,False
2014-03-02,78,False
2014-03-09,93,False
2014-03-16,80,False
2014-03-23,78,False
2014-03-30,78,False
2014-04-06,84,False
2014-04-13,85,False
2014-04-20,75,False
2014-04-27,77,False
2014-05-04,83,False
2014-05-11,83,False
2014-05-18,90,False
2014-05-25,100,False
2014-06-01,95,False
2014-06-08,88,False
2014-06-15,83,False
2014-06-22,78,False
2014-06-29,77,False
2014-07-06,73,False
2014-07-13,75,False
2014-07-20,70,False
2014-07-27,69,False
2014-08-03,70,False
2014-08-10,88,False
2014-08-17,71,False
2014-08-24,71,False
2014-08-31,90,False
2014-09-07,78,False
2014-09-14,73,False
2014-09-21,76,False
2014-09-28,73,False
2014-10-05,84,False
2014-10-12,83,False
2014-10-19,83,False
2014-10-26,78,False
2014-11-02,88,False
2014-11-09,84,False
2014-11-16,81,False
2014-11-23,79,False
2014-11-30,80,False
2014-12-07,84,False
2014-12-14,79,False
2014-12-21,83,False
2014-12-28,91,False
