date,die,isPartial
2015-01-04,91,False
2015-01-11,88,False
2015-01-18,100,False
2015-01-25,84,False
2015-02-01,84,False
2015-02-08,81,False
2015-02-15,82,False
2015-02-22,85,False
2015-03-01,79,False
2015-03-08,87,False
2015-03-15,80,False
2015-03-22,85,False
2015-03-29,86,False
2015-04-05,87,False
2015-04-12,86,False
2015-04-19,87,False
2015-04-26,83,False
2015-05-03,82,False
2015-05-10,84,False
2015-05-17,85,False
2015-05-24,86,False
2015-05-31,83,False
2015-06-07,79,False
2015-06-14,83,False
2015-06-21,82,False
2015-06-28,81,False
2015-07-05,78,False
2015-07-12,78,False
2015-07-19,76,False
2015-07-26,80,False
2015-08-02,76,False
2015-08-09,80,False
2015-08-16,80,False
2015-08-23,80,False
2015-08-30,77,False
2015-09-06,79,False
2015-09-13,78,False
2015-09-20,75,False
2015-09-27,80,False
2015-10-04,89,False
2015-10-11,81,False
2015-10-18,82,False
2015-10-25,97,False
2015-11-01,87,False
2015-11-08,78,False
2015-11-15,82,False
2015-11-22,82,False
2015-11-29,81,False
2015-12-06,86,False
2015-12-13,87,False
2015-12-20,88,False
2015-12-27,93,False
