date,die,isPartial
2011-01-02,83,False
2011-01-09,76,False
2011-01-16,73,False
2011-01-23,70,False
2011-01-30,71,False
2011-02-06,73,False
2011-02-13,73,False
2011-02-20,73,False
2011-02-27,72,False
2011-03-06,80,False
2011-03-13,82,False
2011-03-20,78,False
2011-03-27,75,False
2011-04-03,76,False
2011-04-10,74,False
2011-04-17,74,False
2011-04-24,75,False
2011-05-01,100,False
2011-05-08,79,False
2011-05-15,85,False
2011-05-22,77,False
2011-05-29,77,False
2011-06-05,71,False
2011-06-12,70,False
2011-06-19,82,False
2011-06-26,70,False
2011-07-03,73,False
2011-07-10,80,False
2011-07-17,79,False
2011-07-24,84,False
2011-07-31,73,False
2011-08-07,75,False
2011-08-14,80,False
2011-08-21,73,False
2011-08-28,72,False
2011-09-04,73,False
2011-09-11,77,False
2011-09-18,74,False
2011-09-25,71,False
2011-10-02,93,False
2011-10-09,78,False
2011-10-16,78,False
2011-10-23,72,False
2011-10-30,72,False
2011-11-06,86,False
2011-11-13,77,False
2011-11-20,75,False
2011-11-27,78,False
2011-12-04,80,False
2011-12-11,78,False
2011-12-18,81,False
2011-12-25,78,False
